# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
hai shi 	還是	c=32 d=1.02787 t=12980
hai shi ge 	還是個	c=1 d=0.0480747 t=12980
hai tou su 	還投訴	c=1 d=3.24035e-08 t=12980
hai xing 	還行	c=13 d=1.02399 t=12980
hai xu yao 	還需要	c=1 d=0.000485661 t=12980
hai ya 	海牙	c=1 d=6.90969e-05 t=12980
hai yao 	還要	c=1 d=8.21549e-12 t=12980
hai you 	還有	c=7 d=0.136695 t=12980
hai you dian 	還有點	c=1 d=0.0393602 t=12980
hai you sha 	還有啥	c=1 d=0.000338834 t=12980
hai you xiang xi 	還有詳細	c=1 d=5.21319e-14 t=12980
hai you zhe 	還有着	c=1 d=0.166127 t=12980
han shu 	函數	c=3 d=0.927743 t=12980
han yi 	含義	c=1 d=0.00538036 t=12980
hang wei 	行尾	c=2 d=3.98967e-06 t=12980
hang zhou 	杭州	c=1 d=0.187308 t=12980
hao 	好	c=16 d=1.05584 t=12980
hao 	皓	c=9 d=1.19441 t=12980
hao 	號	c=4 d=1.17442 t=12980
hao ba 	好吧	c=6 d=0.234404 t=12980
hao bu hao chi 	好不好吃	c=1 d=0.000231716 t=12980
hao de 	好的	c=22 d=1.65018 t=12980
hao dian 	好點	c=1 d=7.10779e-14 t=12980
hao duo 	好多	c=1 d=0.878095 t=12980
hao ji ge 	好幾個	c=1 d=6.4303e-12 t=12980
hao ji nian qian 	好幾年前	c=1 d=0.0422141 t=12980
hao jiu 	好久	c=1 d=0.932394 t=12980
hao le 	好了	c=7 d=0.650509 t=12980
hao le ma 	好了嗎	c=1 d=6.61181e-09 t=12980
hao le mei 	好了沒	c=1 d=0.000655574 t=12980
hao nong 	好弄	c=2 d=1.45398e-11 t=12980
hao qi guai 	好奇怪	c=1 d=0.591555 t=12980
hao shi 	好使	c=7 d=0.34265 t=12980
hao xiang 	好像	c=8 d=0.740818 t=12980
hao yi xie 	好一些	c=1 d=0.128093 t=12980
he 	何	c=3 d=0.814647 t=12980
he 	和	c=45 d=0.396512 t=12980
he 	喝	c=24 d=2.39007 t=12980
he bing 	合併	c=1 d=0.120032 t=12980
he cheng 	合成	c=1 d=0.00308872 t=12980
he ge 	合格	c=1 d=0.677057 t=12980
he gui 	合規	c=0 d=0.0256661 t=12980
he he 	呵呵	c=3 d=0.644929 t=12980
he shi 	合適	c=1 d=0.923116 t=12980
he xin 	核心	c=5 d=0.031117 t=12980
hei 	黑	c=1 d=0.701173 t=12980
hei long jiang 	黑龍江	c=1 d=0.00440507 t=12980
hen 	很	c=0 d=5.88805e-06 t=12980
hen da 	很大	c=1 d=9.49258e-06 t=12980
hen di 	很低	c=1 d=2.51143e-10 t=12980
hen jiang ying 	很僵硬	c=1 d=5.91757e-05 t=12980
hen kuai 	很快	c=1 d=1.44547e-11 t=12980
hen nan 	很難	c=1 d=0.467666 t=12980
hong 	宏	c=1 d=0.000841773 t=12980
hong shan 	宏杉	c=2 d=0.197114 t=12980
hou 	後	c=11 d=0.0435602 t=12980
hou duan 	後端	c=3 d=0.99005 t=12980
hou lai 	後來	c=2 d=0.271661 t=12980
hou mian 	後面	c=1 d=0.0788664 t=12980
hou qi 	後期	c=4 d=0.474734 t=12980
hou xuan 	候選	c=1 d=0.802519 t=12980
hu bei 	湖北	c=2 d=0.898703 t=12980
hu die xiao ying 	蝴蝶效應	c=1 d=0.278037 t=12980
hu dong 	互動	c=0 d=0.000101791 t=12980
hu fang 	互訪	c=1 d=0.0222592 t=12980
hu lian 	互聯	c=1 d=0.0241131 t=12980
hu lian wang 	互聯網	c=4 d=0.128093 t=12980
hu lve 	忽略	c=1 d=0.197899 t=12980
hu xi 	呼吸	c=1 d=0.431711 t=12980
hu xiang 	互相	c=2 d=0.0917923 t=12980
hua 	話	c=6 d=0.0280703 t=12980
hua hao 	畫好	c=1 d=0.0117959 t=12980
hua wei 	華爲	c=12 d=0.453711 t=12980
hua xin 	花心	c=0 d=7.63899e-10 t=12980
hua xin yong dao 	花心用到	c=1 d=7.67728e-09 t=12980
hua yuan 	花園	c=1 d=0.0555429 t=12980
hua yuan ming chao 	花園明朝	c=1 d=0.0502874 t=12980
huai 	壞	c=1 d=0.0944202 t=12980
huai la 	壞啦	c=1 d=0.100259 t=12980
huai le 	壞了	c=1 d=0.201897 t=12980
huai yi 	懷疑	c=2 d=0.026791 t=12980
huan 	換	c=2 d=0.231078 t=12980
huan cun 	緩存	c=2 d=1.2792e-07 t=12980
huan ge 	換個	c=2 d=0.0183156 t=12980
huan jie 	環節	c=1 d=1.42371e-09 t=12980
huan jing 	環境	c=17 d=0.0200644 t=12980
huang 	慌	c=1 d=7.01412e-05 t=12980
huang le 	黃了	c=1 d=0.000401622 t=12980
hui 	回	c=8 d=0.534121 t=12980
hui 	慧	c=1 d=9.64261e-14 t=12980
hui 	會	c=14 d=0.507976 t=12980
hui 	輝	c=8 d=3.14954 t=12980
hui bao 	彙報	c=2 d=0.000126534 t=12980
hui bu hui 	會不會	c=3 d=0.187308 t=12980
hui bu qu 	回不去	c=1 d=2.39513e-11 t=12980
hui dao zhi 	會導致	c=1 d=4.22501e-12 t=12980
hui du 	灰度	c=1 d=9.78167e-06 t=12980
hui er 	會兒	c=1 d=7.08582e-07 t=12980
hui fu 	回覆	c=2 d=0.2334 t=12980
hui fu 	恢復	c=11 d=1.9675 t=12980
hui hua 	回話	c=1 d=0.0689068 t=12980
hui jia 	回家	c=2 d=0.000119165 t=12980
hui lai 	回來	c=3 d=0.0320647 t=12980
hui qu 	回去	c=6 d=0.0863813 t=12980
hui shou 	回收	c=1 d=3.137e-09 t=12980
hui tui 	回退	c=4 d=6.72486e-06 t=12980
hui yi 	會議	c=8 d=0.000931221 t=12980
hui you 	會有	c=2 d=4.06708e-05 t=12980
hui zuo 	會做	c=0 d=2.99794e-06 t=12980
hun 	混	c=2 d=0.215456 t=12980
hun yin 	婚姻	c=1 d=9.31095e-14 t=12980
huo 	或	c=21 d=1.32741 t=12980
huo 	活	c=14 d=1.13295 t=12980
huo guo 	火鍋	c=1 d=0.000236397 t=12980
huo huo 	霍霍	c=1 d=0.0513033 t=12980
huo qu 	獲取	c=0 d=4.16069e-09 t=12980
huo shen 	火神	c=4 d=0.00699662 t=12980
huo shi 	伙食	c=2 d=0.274468 t=12980
huo zhe 	或者	c=24 d=1.73015 t=12980
huo zhe yin pai 	或者銀牌	c=1 d=6.54326e-11 t=12980
i mac 	iMac	c=0 d=0.00632918 t=12980
inboard 	Inboard	c=0 d=3.58058e-05 t=12980
ji 	及	c=2 d=2.23583e-09 t=12980
ji 	機	c=2 d=1.37793e-06 t=12980
ji 	級	c=0 d=0.0128344 t=12980
ji 	集	c=1 d=3.42298e-06 t=12980
ji 	雞	c=1 d=0.0031354 t=12980
ji ben 	基本	c=18 d=0.650439 t=12980
ji ben ding le 	基本定了	c=1 d=3.77321e-05 t=12980
ji ben jiu 	基本就	c=1 d=0.282239 t=12980
ji ben shang 	基本上	c=2 d=0.000713734 t=12980
ji bie 	級別	c=2 d=0.149569 t=12980
ji bu zhu 	記不住	c=1 d=8.94434e-12 t=12980
ji cheng 	集成	c=2 d=6.3488e-09 t=12980
ji chu 	基礎	c=20 d=0.127449 t=12980
ji chu jia gou 	基礎架構	c=1 d=0.00423234 t=12980
ji chu she shi 	基礎設施	c=4 d=0.00354685 t=12980
ji chu she zhi shi 	基礎設置是	c=1 d=0.000183188 t=12980
ji ci 	幾次	c=1 d=1.36106e-09 t=12980
ji de 	記得	c=2 d=0.0391639 t=12980
ji dian 	幾點	c=4 d=1.11786 t=12980
ji fang 	機房	c=2 d=0.0315394 t=12980
ji ge 	幾個	c=12 d=0.687434 t=12980
ji ge yue 	幾個月	c=1 d=3.25714e-10 t=12980
ji han cu 	基函数	c=1 d=8.29382e-06 t=12980
ji he 	集合	c=4 d=0.000175611 t=12980
ji hui 	機會	c=1 d=0.00474815 t=12980
ji huo 	激活	c=0 d=3.66356e-12 t=12980
ji jian shi 	幾件事	c=1 d=7.12134e-07 t=12980
ji lu 	記錄	c=3 d=1.28218e-05 t=12980
ji mi hua 	雞米花	c=1 d=1.30095e-07 t=12980
ji nian guan 	紀念館	c=0 d=5.3952e-07 t=12980
ji qi 	機器	c=13 d=0.597501 t=12980
ji qun 	集羣	c=10 d=0.168399 t=12980
ji qun nei bu 	集羣內部	c=1 d=7.24644e-06 t=12980
ji shu 	技術	c=8 d=0.0161044 t=12980
ji shu bu 	技術部	c=3 d=0.00650776 t=12980
ji suan 	計算	c=4 d=1.23112e-05 t=12980
ji suan ji 	計算機	c=2 d=4.41836e-10 t=12980
ji tai 	幾臺	c=5 d=0.00237139 t=12980
ji tian 	幾天	c=1 d=0.00308872 t=12980
ji xia lai 	記下來	c=1 d=2.45492e-07 t=12980
ji xing 	記性	c=1 d=8.81118e-12 t=12980
ji xu 	繼續	c=6 d=0.744618 t=12980
ji yi li 	記憶力	c=2 d=1.8083e-11 t=12980
ji yu 	基於	c=13 d=0.101774 t=12980
ji zhi 	機制	c=1 d=7.35596e-06 t=12980
ji zhong 	集中	c=1 d=1.22223e-08 t=12980
ji zhuang xiang 	集裝箱	c=5 d=8.54865e-06 t=12980
jia 	加	c=13 d=0.980199 t=12980
jia 	甲	c=1 d=0.647265 t=12980
jia 	賈	c=1 d=0.0692522 t=12980
jia ce lve 	加策略	c=1 d=3.8408e-08 t=12980
jia dao 	加到	c=1 d=7.17556e-08 t=12980
jia dian 	加點	c=1 d=0.491644 t=12980
jia ge 	價格	c=2 d=0.582748 t=12980
jia gou 	架構	c=24 d=0.267165 t=12980
jia gu 	加固	c=1 d=2.65433e-14 t=12980
jia kuai 	加快	c=1 d=8.76276e-06 t=12980
jia lu you 	加路由	c=1 d=2.93199e-08 t=12980
jia mi 	加密	c=1 d=1.18305e-07 t=12980
jia shang 	加上	c=1 d=0.000244817 t=12980
jia su 	加速	c=5 d=7.93007e-07 t=12980
jia ting 	家庭	c=1 d=0.00740944 t=12980
jia xiang 	假象	c=1 d=0.000949097 t=12980
jia yi 	加一	c=0 d=0.00925506 t=12980
jia yi ge 	加一個	c=1 d=2.56836e-09 t=12980
jia yi ji 	加一級	c=1 d=0.0930145 t=12980
jia yi tao 	加一套	c=1 d=0.278037 t=12980
jia zai 	加載	c=1 d=0.55196 t=12980
jia zai shun xu 	加載順序	c=3 d=1.37297 t=12980
jian 	劍	c=1 d=0.000382034 t=12980
jian 	建	c=3 d=0.311935 t=12980
jian 	鑑	c=1 d=9.59451e-14 t=12980
jian ce 	檢測	c=1 d=3.91972e-12 t=12980
jian cha 	檢查	c=8 d=0.0281028 t=12980
jian dan 	簡單	c=4 d=0.608699 t=12980
jian hao 	建好	c=1 d=0.000455097 t=12980
jian jie 	簡介	c=1 d=1.56533e-07 t=12980
jian kang 	健康	c=3 d=0.557106 t=12980
jian kong 	監控	c=2 d=4.80915e-06 t=12980
jian shao 	減少	c=2 d=1.78349e-05 t=12980
jian ting 	監聽	c=3 d=0.216309 t=12980
jian tou fa 	剪頭髮	c=1 d=0.000122182 t=12980
jian yi 	建議	c=11 d=0.0181714 t=12980
jiang 	將	c=12 d=0.429557 t=12980
jiang 	講	c=9 d=0.235954 t=12980
jiang dao li 	講道理	c=1 d=0.0303487 t=12980
jiang dong xi 	講東西	c=1 d=0.0127784 t=12980
jiang ge gu shi 	講個故事	c=1 d=0.694197 t=12980
jiang he hu hai 	江河湖海	c=1 d=0.860708 t=12980
jiang lai 	將來	c=1 d=0.00384878 t=12980
jiang wen 	降溫	c=1 d=3.84943e-05 t=12980
jiang yi jiang 	講一講	c=1 d=6.34772e-07 t=12980
jiang ying 	僵硬	c=0 d=5.88805e-06 t=12980
jiao 	叫	c=1 d=0.141564 t=12980
jiao 	角	c=1 d=1.6371e-05 t=12980
jiao ben 	腳本	c=1 d=0.0397558 t=12980
jiao fu 	交付	c=11 d=0.192663 t=12980
jiao gu 	膠固	c=1 d=3.8594e-06 t=12980
jiao hu ji 	角虎集	c=1 d=8.15202e-09 t=12980
jiao hua 	教化	c=2 d=0.0350844 t=12980
jiao huan ji 	交換機	c=10 d=1.90027 t=12980
jiao jin 	較勁	c=0 d=0.00972957 t=12980
jiao sha 	叫啥	c=1 d=1.91255e-11 t=12980
jiao shou 	教授	c=1 d=1.05982e-07 t=12980
jiao yu 	教育	c=1 d=6.44365e-07 t=12980
jie 	借	c=1 d=4.28959e-14 t=12980
jie 	接	c=15 d=1.28215 t=12980
jie chu 	接觸	c=2 d=0.912344 t=12980
jie chu qu le 	借出去了	c=1 d=7.67467e-05 t=12980
jie dian 	節點	c=16 d=0.0906868 t=12980
jie ge 	接個	c=2 d=0.396531 t=12980
jie ge huo 	接個活	c=1 d=0.205975 t=12980
jie ge tu 	截個圖	c=1 d=1.13941e-06 t=12980
jie gou 	結構	c=4 d=0.184542 t=12980
jie guo 	結果	c=9 d=0.542037 t=12980
jie jue 	解決	c=5 d=0.571209 t=12980
jie kou 	接口	c=4 d=6.76791e-06 t=12980
jie liang ge 	接兩個	c=1 d=1.15106e-08 t=12980
jie mian 	界面	c=2 d=5.18366e-06 t=12980
jie mu 	節目	c=1 d=1.54255e-11 t=12980
jie neng 	節能	c=1 d=0.0875977 t=12980
jie shao 	介紹	c=2 d=3.53575e-05 t=12980
jie shi 	解釋	c=2 d=1.10648e-06 t=12980
jie shou 	接受	c=2 d=0.349938 t=12980
jie tu 	截圖	c=5 d=0.133094 t=12980
jie xi 	解析	c=4 d=0.127454 t=12980
jie xiang 	結項	c=1 d=0.280832 t=12980
jie zhi 	截至	c=1 d=0.110803 t=12980
jie zou 	借走	c=1 d=6.79675e-08 t=12980
jie zou de 	借走的	c=1 d=6.23813e-08 t=12980
jin 	僅	c=4 d=0.985112 t=12980
jin 	進	c=5 d=1 t=12980
jin 	金	c=20 d=0.335824 t=12980
jin bu qu 	進不去	c=4 d=0.347696 t=12980
jin chang 	進場	c=1 d=2.74084e-09 t=12980
jin cheng 	進程	c=3 d=4.71734e-06 t=12980
jin cun 	僅存	c=0 d=0.000194013 t=12980
jin cun zai 	僅存在	c=1 d=0.00194986 t=12980
jin cun zai 	金存在	c=1 d=0.00194013 t=12980
jin dai liang 	金代亮	c=2 d=0.00134093 t=12980
jin du 	進度	c=1 d=0.000128446 t=12980
jin guan 	儘管	c=1 d=2.04523e-06 t=12980
jin ji 	緊急	c=1 d=1.86952e-08 t=12980
jin kuai 	儘快	c=1 d=6.16326e-13 t=12980
jin lai 	進來	c=2 d=0.0812682 t=12980
jin lai le 	进来了	c=1 d=3.36388e-07 t=12980
jin lan shu 	堇兰属	c=1 d=0.0266491 t=12980
jin pai 	金牌	c=1 d=6.51063e-11 t=12980
jin qi 	近期	c=2 d=0.00324721 t=12980
jin qu 	進去	c=2 d=0.918512 t=12980
jin tian 	今天	c=26 d=0.8899 t=12980
jin wan 	今晚	c=1 d=3.85009e-07 t=12980
jin xing 	進行	c=9 d=0.0119541 t=12980
jin yi ge yue 	近一個月	c=5 d=2.35804 t=12980
jin yong 	禁用	c=3 d=0.280701 t=12980
jin zhang 	緊張	c=1 d=6.70548e-05 t=12980
jin zhi 	禁止	c=1 d=0.0880368 t=12980
jing ji 	經紀	c=1 d=1.36435e-08 t=12980
jing li 	精力	c=1 d=0.0181334 t=12980
jing li 	經理	c=1 d=0.00114473 t=12980
jing tai 	靜態	c=3 d=2.84409e-06 t=12980
jing xiang 	鏡像	c=34 d=0.00103224 t=12980
jing yin 	靜音	c=1 d=0.000308127 t=12980
jiu 	就	c=100 d=3.72279 t=12980
jiu bu xing 	就不行	c=1 d=4.8725e-13 t=12980
jiu dao le 	就到了	c=1 d=0.0911727 t=12980
jiu de 	就得	c=2 d=0.00131358 t=12980
jiu dian 	九點	c=1 d=0.00109172 t=12980
jiu dian 	酒店	c=1 d=0.00108628 t=12980
jiu duan 	就斷	c=1 d=0.00323088 t=12980
jiu hao 	就好	c=1 d=1.44523e-09 t=12980
jiu hao le 	就好了	c=7 d=0.513133 t=12980
jiu ke yi 	就可以	c=5 d=0.484367 t=12980
jiu na yi si 	就那意思	c=1 d=0.0572688 t=12980
jiu neng 	就能	c=2 d=0.452964 t=12980
jiu pa 	就怕	c=1 d=2.67918e-06 t=12980
jiu shi 	就是	c=38 d=3.02396 t=12980
jiu shi zhe ge 	就是这个	c=1 d=0.000614317 t=12980
jiu shuo 	就說	c=3 d=0.25288 t=12980
jiu suan le 	就算了	c=1 d=0.113608 t=12980
jiu wo 	就我	c=1 d=2.13384e-05 t=12980
jiu xiang 	就像	c=2 d=2.06031e-06 t=12980
jiu xing 	就行	c=24 d=1.61864 t=12980
jiu xing ba 	就行吧	c=1 d=0.00568457 t=12980
jiu xu yao 	就需要	c=1 d=0.00282287 t=12980
jiu you 	就有	c=1 d=0.310367 t=12980
jiu yuan 	救援	c=0 d=8.29241e-05 t=12980
jiu yuan mo shi 	救援模式	c=1 d=0.000833397 t=12980
jiu zhi dao 	就知道	c=1 d=0.0459593 t=12980
ju ben 	劇本	c=1 d=2.97681e-10 t=12980
ju ju 	句句	c=1 d=0.0332068 t=12980
ju ren 	巨人	c=0 d=0.0802519 t=12980
ju ti 	具體	c=4 d=0.0243195 t=12980
ju you 	具有	c=4 d=0.00419132 t=12980
ju zhu di 	居住地	c=2 d=0.991215 t=12980
ju zhu zhe 	居住者	c=1 d=0.524663 t=12980
juan 	卷	c=1 d=1.08384e-06 t=12980
juan zeng 	捐贈	c=1 d=5.88906e-07 t=12980
jue de 	覺得	c=3 d=0.474734 t=12980
jun 	均	c=0 d=0.000540733 t=12980
jun bu tong 	均不同	c=1 d=0.00543443 t=12980
jun heng 	均衡	c=3 d=0.286505 t=12980
ka 	卡	c=6 d=0.00247207 t=12980
ka zai 	卡在	c=1 d=0.000795197 t=12980
ka zai zhe 	卡在這	c=1 d=0.000746586 t=12980
ka zhu 	卡住	c=1 d=0.0389686 t=12980
kai 	凱	c=1 d=8.99071e-14 t=12980
kai 	開	c=7 d=0.0642483 t=12980
kai fa 	開發	c=9 d=0.180866 t=12980
kai fang 	開放	c=1 d=0.000911882 t=12980
kai fang kai fa 	开放开发	c=2 d=0.00162984 t=12980
kai gong 	開工	c=2 d=0.000100137 t=12980
kai huang 	開荒	c=1 d=0.517012 t=12980
kai hui 	開會	c=2 d=0.000841773 t=12980
kai hui ne 	開會吶	c=1 d=1.61773e-12 t=12980
kai hui zhong 	開會中	c=1 d=4.97093e-13 t=12980
kai ji 	開機	c=2 d=0.00016826 t=12980
kai la 	開啦	c=1 d=0.117068 t=12980
kai le 	開了	c=3 d=0.114178 t=12980
kai na 	凱娜	c=1 d=8.94586e-14 t=12980
kai ni en 	凱尼恩	c=1 d=9.35125e-06 t=12980
kai qi 	開啓	c=2 d=0.000137073 t=12980
kai shi 	開始	c=7 d=0.156212 t=12980
kai tong 	開通	c=2 d=2.11808e-06 t=12980
kai tou 	開頭	c=1 d=0.000108909 t=12980
kai wan hui 	開完會	c=1 d=2.59505e-13 t=12980
kai xia 	開下	c=1 d=5.91857e-07 t=12980
kai xue 	開學	c=1 d=0.0288686 t=12980
kai yuan 	開源	c=1 d=0.0502874 t=12980
kai yuan dao 	开原道	c=1 d=0.00263203 t=12980
kan 	坎	c=5 d=0.220488 t=12980
kan 	看	c=27 d=0.733447 t=12980
kan 	闞	c=2 d=1.1923e-07 t=12980
kan ba 	看吧	c=1 d=1.32381e-06 t=12980
kan ben zhi 	看本質	c=1 d=3.64529e-11 t=12980
kan bu chu 	看不出	c=1 d=1.18938e-11 t=12980
kan bu dao 	看不到	c=2 d=0.937067 t=12980
kan bu dong 	看不懂	c=2 d=3.82164e-08 t=12980
kan chu 	看出	c=1 d=0.00771183 t=12980
kan chu lai 	看出來	c=1 d=7.4107e-05 t=12980
kan dao 	看到	c=7 d=0.932394 t=12980
kan dao le 	看到了	c=1 d=3.0585e-05 t=12980
kan dong 	看懂	c=1 d=8.96139e-05 t=12980
kan kan 	看看	c=33 d=0.935408 t=12980
kan le 	看了	c=4 d=0.319851 t=12980
kan ni 	看你	c=3 d=0.154896 t=12980
kan ni men 	看你們	c=1 d=0.1764 t=12980
kan sha 	看啥	c=3 d=0.151829 t=12980
kan sha 	砍殺	c=1 d=0.151072 t=12980
kan wen dang 	看文檔	c=1 d=3.8901e-11 t=12980
kan xia 	看下	c=4 d=0.00748563 t=12980
kan xu qiu 	看需求	c=1 d=1.1398e-10 t=12980
kan yang 	看樣	c=1 d=3.91906e-10 t=12980
kan yang zi 	看樣子	c=2 d=3.53575e-05 t=12980
kan yi xia 	看一下	c=1 d=3.6813e-09 t=12980
kan zen me shuo 	看怎麼說	c=1 d=0.88692 t=12980
kan zhe 	看着	c=1 d=0.0376283 t=12980
kan zhe ge 	看這個	c=1 d=0.70822 t=12980
kang guo 	扛過	c=1 d=0.000265207 t=12980
kao 	考	c=3 d=0.86199 t=12980
kao bei 	拷貝	c=1 d=0.063609 t=12980
kao bu guo 	考不過	c=1 d=0.0614212 t=12980
kao kao 	靠靠	c=1 d=6.28349e-05 t=12980
kao le 	考了	c=2 d=0.913652 t=12980
kao lv 	考慮	c=4 d=0.794534 t=12980
kao pu 	靠譜	c=1 d=6.02665e-14 t=12980
kao shi 	考試	c=2 d=0.062662 t=12980
ke 	可	c=8 d=0.0190631 t=12980
ke 	殼	c=47 d=1.80815 t=12980
ke ba 	殼吧	c=1 d=2.63337e-09 t=12980
ke bian 	可變	c=0 d=1.14532e-09 t=12980
ke bu ke xing 	可不可行	c=1 d=3.42531e-14 t=12980
ke bu ke yi 	可不可以	c=1 d=2.4916e-05 t=12980
ke da 	可達	c=2 d=1.63386e-11 t=12980
ke hai xing 	可還行	c=2 d=0.0721073 t=12980
ke hu duan 	客戶端	c=10 d=0.00111378 t=12980
ke hu ji 	客戶機	c=1 d=4.15207e-13 t=12980
ke huo qu 	可獲取	c=1 d=4.18154e-08 t=12980
ke ji 	科技	c=1 d=9.08106e-14 t=12980
ke jian 	可見	c=1 d=1.25946e-08 t=12980
ke long 	克隆	c=2 d=2.64243e-11 t=12980
ke neng 	可能	c=11 d=0.731552 t=12980
ke qi 	客氣	c=1 d=3.24763e-05 t=12980
ke shi 	可是	c=1 d=0.000898306 t=12980
ke shi hua 	可視化	c=2 d=9.90005e-14 t=12980
ke sou 	咳嗽	c=1 d=0.429557 t=12980
ke tang 	課堂	c=6 d=0.00423834 t=12980
ke tang qian dao 	課堂簽到	c=1 d=0.00131358 t=12980
ke xian 	可限	c=1 d=1.42003e-08 t=12980
ke yi 	可以	c=72 d=1.59201 t=12980
ke yi zhi 	可移植	c=1 d=2.47362e-08 t=12980
ke yong 	可用	c=1 d=7.89201e-10 t=12980
ke zou 	可走	c=1 d=3.9292e-11 t=12980
ken de ji 	肯德基	c=1 d=0.83527 t=12980
ken ding 	肯定	c=6 d=1.12576 t=12980
ken ding bu dui 	肯定不對	c=1 d=0.0776922 t=12980
keng 	坑	c=0 d=0.0158025 t=12980
kong ge 	空格	c=3 d=0.00273944 t=12980
kong he zi 	空盒子	c=1 d=6.49161e-06 t=12980
kong jian 	空間	c=1 d=4.71388e-06 t=12980
kong zhi 	控制	c=4 d=6.55481e-06 t=12980
kong zhi mian ban 	控制面板	c=1 d=0.00112497 t=12980
kong zhi qi 	控制器	c=2 d=1.23257e-05 t=12980
kou 	口	c=8 d=0.730663 t=12980
kou ling 	口令	c=3 d=2.06566e-07 t=12980
kou qian 	扣錢	c=1 d=8.74609e-13 t=12980
kuai 	塊	c=12 d=0.00569251 t=12980
kuai 	快	c=3 d=0.529935 t=12980
kuai jin lai 	快進來	c=0 d=0.0995012 t=12980
kuai zhao 	快照	c=1 d=5.31579e-08 t=12980
kun nan 	困難	c=1 d=0.433874 t=12980
kuo 	擴	c=3 d=0.634565 t=12980
kuo bu liao 	擴不了	c=1 d=0.214381 t=12980
kuo rong 	擴容	c=2 d=1.21598e-06 t=12980
kuo san 	擴散	c=1 d=0.163654 t=12980
kuo zhan ming 	擴展名	c=1 d=1.80491e-06 t=12980
la 	啦	c=15 d=0.387185 t=12980
la 	拉	c=4 d=0.0161269 t=12980
la dao 	拉到	c=1 d=0.11475 t=12980
la hei 	拉黑	c=1 d=0.000448449 t=12980
la hei le 	拉黑了	c=1 d=0.00419023 t=12980
la ji 	垃圾	c=1 d=0.021068 t=12980
la man 	拉滿	c=3 d=0.350756 t=12980
la qi 	拉起	c=1 d=6.94551e-07 t=12980
la qun 	拉羣	c=1 d=0.000590229 t=12980
la se 	垃圾	c=0 d=0.0970446 t=12980
lai 	來	c=12 d=0.955997 t=12980
lai dian 	來電	c=1 d=0.0025415 t=12980
lai dian hua 	來電話	c=1 d=0.0739031 t=12980
lai ge 	來個	c=2 d=0.177284 t=12980
lai le 	來了	c=4 d=0.0153752 t=12980
lai qi 	來气	c=1 d=0.0401553 t=12980
lai shuo 	來說	c=4 d=0.552421 t=12980
lai xiao 	來校	c=1 d=0.625002 t=12980
lai yi fa 	來一發	c=1 d=1.19206e-08 t=12980
lai zhe 	來着	c=3 d=0.00582993 t=12980
lai zi 	來自	c=1 d=1.06495e-05 t=12980
lan 	藍	c=1 d=0.315058 t=12980
lan de 	蘭德	c=1 d=3.90084e-14 t=12980
lan deng 	藍燈	c=1 d=0.000696112 t=12980
lang ge 	朗閣	c=1 d=0.0812682 t=12980
lao 	老	c=38 d=1.02006 t=12980
lao huan jing 	老環境	c=1 d=1.21949e-11 t=12980
lao lao shi shi 	老老實實	c=1 d=0.0590129 t=12980
lao meng le 	老猛了	c=1 d=0.289384 t=12980
lao shi 	老師	c=56 d=3.10872 t=12980
lao wo niu 	老蝸牛	c=1 d=0.0672055 t=12980
lao yi ka tong 	老一卡通	c=2 d=0.0293061 t=12980
le 	了	c=195 d=3.4585 t=12980
le ba 	樂吧	c=0 d=1.25058e-14 t=12980
le dui 	樂隊	c=0 d=0.000501661 t=12980
le dui xing 	樂隊行	c=1 d=0.00504176 t=12980
le ming cheng 	了名稱	c=1 d=0.00010569 t=12980
le yi 	了一	c=1 d=4.01964e-14 t=12980
lei 	磊	c=3 d=0.0542995 t=12980
lei 	類	c=1 d=3.11276e-06 t=12980
lei bi 	類比	c=1 d=1.50032e-08 t=12980
lei bie 	類別	c=1 d=0.00494193 t=12980
lei feng 	雷鋒	c=1 d=0.0120342 t=12980
lei feng ta 	雷峯塔	c=1 d=0.0121552 t=12980
lei ge 	雷格	c=1 d=0.0376283 t=12980
lei hua 	淚花	c=1 d=0.0672055 t=12980
lei jia 	累加	c=1 d=0.0675424 t=12980
lei si 	類似	c=7 d=1.33661e-05 t=12980
lei xing 	類型	c=27 d=0.375249 t=12980
leng 	冷	c=1 d=1.17431e-08 t=12980
li 	利	c=1 d=0.408608 t=12980
li 	李	c=7 d=1.38366e-06 t=12980
li 	立	c=1 d=0.00047367 t=12980
li 	裏	c=9 d=1.85586 t=12980
li ce 	蠡測	c=0 d=0.0194952 t=12980
li guo qiang 	李国强	c=2 d=0.0187793 t=12980
li hai 	厲害	c=1 d=0.540641 t=12980
li ji 	立即	c=1 d=8.42203e-10 t=12980
li kai 	離開	c=1 d=0.00489275 t=12980
li kai jia 	離開家	c=0 d=0.0995012 t=12980
li lao shi 	李老師	c=1 d=9.98607e-14 t=12980
li mian 	裏面	c=1 d=2.12429e-11 t=12980
li min 	李敏	c=1 d=0.000578542 t=12980
li ou si 	里歐斯	c=1 d=0.0590129 t=12980
li ru 	例如	c=4 d=4.04333e-05 t=12980
li shi 	歷史	c=5 d=0.726149 t=12980
li wo 	理我	c=1 d=6.50731e-05 t=12980
li yong 	利用	c=2 d=0.0275986 t=12980
